Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Candidate_First_Pref_Votes,Status,Occurred_On_Count,Gender,Twitter
Strangford,15,227,Kellie,ARMSTRONG,0,19,Alliance Party,3499,Elected,10,F,@Kelmba
Strangford,15,228,Jonathan,BELL,1,20,Democratic Unionist Party,3393,Elected,7,M,@jonathanfbell
Strangford,15,229,Joe,BOYLE,0,23,Social Democratic and Labour Party,2724,Excluded,10,M,
Strangford,15,230,Stephen,COOPER,0,141,Traditional Unionist Voice,1407,Excluded,5,M,@S_J_Cooper
Strangford,15,231,Stephen,CROSBY,0,689,UK Independence Party,759,Excluded,3,M,@stephen_crosby1
Strangford,15,232,Georgia,GRAINGER,0,111,Green Party,924,Excluded,4,F,@green_grainger
Strangford,15,233,Simon,HAMILTON,1,20,Democratic Unionist Party,3964,Elected,7,M,@SimonHamilton
Strangford,15,234,Harry,HARVEY,0,20,Democratic Unionist Party,2017,Excluded,6,M,@harveyscrossgar
Strangford,15,235,Dermot,KENNEDY,0,24,Sinn Fein,661,Excluded,2,M,@DerKennedySinnF
Strangford,15,236,Rab,MCCARTNEY,0,21,Independent,107,Excluded,1,M,
Strangford,15,237,Michelle,MCILVEEN,1,20,Democratic Unionist Party,4663,Elected,1,F,@MMcIlveenMLA
Strangford,15,238,Bill,MCKENDRY,0,991,NI Conservatives,314,Excluded,1,M,
Strangford,15,239,Jimmy,MENAGH,0,21,Independent,1840,Excluded,8,M,
Strangford,15,240,Mike,NESBITT,1,26,Ulster Unionist Party,4673,Elected,1,M,@mikenesbittni
Strangford,15,241,Philip,SMITH,0,26,Ulster Unionist Party,1694,Elected,10,M,
Upper Bann,16,242,Sydney Alexander,ANDERSON,1,20,Democratic Unionist Party,6195,Elected,2,M,@AndersonDUP
Upper Bann,16,243,Doug,BEATTIE,0,26,Ulster Unionist Party,2969,Elected,11,M,@BeattieDoug
Upper Bann,16,244,Jo-Anne,DOBSON,1,26,Ulster Unionist Party,5155,Elected,9,F,@JoAnne_Dobson
Upper Bann,16,245,Roy,FERGUSON,0,141,Traditional Unionist Voice,1177,Excluded,8,M,
Upper Bann,16,246,Harry,HAMILTON,0,19,Alliance Party,1424,Excluded,9,M,@harry_hamilton
Upper Bann,16,247,Emma,HUTCHINSON,0,989,NI Labour Representation Committee,250,Excluded,3,F,@EmmaHutchinson
Upper Bann,16,248,David,JONES,0,689,UK Independence Party,1072,Excluded,7,M,@decombustion
Upper Bann,16,249,Dolores,KELLY,1,23,Social Democratic and Labour Party,4335,Excluded,11,F,@doloreskelly
Upper Bann,16,250,Martin,KELLY,0,993,Cannabis Is Safer Than Alcohol,672,Excluded,6,M,
Upper Bann,16,251,Simon,LEE,0,111,Green Party,495,Excluded,4,M,
