Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL,Directory,Gender
Strangford,15,207,Jonathan,BELL,1,20,Democratic Unionist Party,,strangford,M
Strangford,15,208,Joe,BOYLE,0,23,Social Democratic and Labour Party,,strangford,M
Strangford,15,209,Stephen,COOPER,0,141,Traditional Unionist Voice,,strangford,M
Strangford,15,210,Stephen,CROSBY,0,689,UK Independence Party,,strangford,M
Strangford,15,211,Georgia,GRAINGER,0,111,Green Party,,strangford,F
Strangford,15,212,Simon,HAMILTON,1,20,Democratic Unionist Party,,strangford,M
Strangford,15,213,Harry,HARVEY,0,20,Democratic Unionist Party,,strangford,M
Strangford,15,214,Michelle,MCILVEEN,1,20,Democratic Unionist Party,,strangford,F
Strangford,15,215,Bill,MCKENDRY,0,991,NI Conservatives,,strangford,M
Strangford,15,216,Mike,NESBITT,1,26,Ulster Unionist Party,,strangford,M
Strangford,15,217,Philip,SMITH,0,26,Ulster Unionist Party,,strangford,M
Upper Bann,16,218,Sydney,ANDERSON,1,20,Democratic Unionist Party,,upper-bann,M
Upper Bann,16,219,Doug,BEATTIE,0,26,Ulster Unionist Party,,upper-bann,M
Upper Bann,16,220,Joanne,DOBSON,1,26,Ulster Unionist Party,,upper-bann,F
Upper Bann,16,221,Roy,FERGUSON,0,141,Traditional Unionist Voice,,upper-bann,M
Upper Bann,16,222,Harry,HAMILTON,0,19,Alliance Party,,upper-bann,M
Upper Bann,16,223,David,JONES,0,689,UK Independence Party,,upper-bann,M
Upper Bann,16,224,Dolores,KELLY,1,23,Social Democratic and Labour Party,,upper-bann,F
Upper Bann,16,225,Martin,KELLY,0,993,Cannabis Is Safer Than Alcohol,,upper-bann,M
Upper Bann,16,226,Simon,LEE,0,111,Green Party,,upper-bann,M
Upper Bann,16,227,Carla,LOCKHART,0,20,Democratic Unionist Party,,upper-bann,F
Upper Bann,16,228,Sophie,LONG,0,994,Progressive Unionist Party,,upper-bann,F
Upper Bann,16,229,Ian,NICKELS,0,991,NI Conservatives,,upper-bann,M
Upper Bann,16,230,John,ODOWD,1,24,Sinn Fein,,upper-bann,M
Upper Bann,16,231,Kyle,SAVAGE,0,26,Ulster Unionist Party,,upper-bann,M
Upper Bann,16,232,Catherine,SEELEY,0,24,Sinn Fein,,upper-bann,F
West Tyrone,18,233,Michaela,BOYLE,1,24,Sinn Fein,,west-tyrone,F
West Tyrone,18,234,Allan,BRESLAND,0,20,Democratic Unionist Party,,west-tyrone,M
West Tyrone,18,235,Barry,BROWN,0,993,Cannabis Is Safer Than Alcohol,,west-tyrone,M
West Tyrone,18,236,Tom,BUCHANAN,1,20,Democratic Unionist Party,,west-tyrone,M
West Tyrone,18,237,Josephine,DEENAN,0,21,Independent,,west-tyrone,F
West Tyrone,18,238,Stephen,DONNELLY,0,19,Alliance Party,,west-tyrone,M
West Tyrone,18,239,Corey,FRENCH,0,21,Independent,,west-tyrone,M
West Tyrone,18,240,Ross,HUSSEY,1,26,Ulster Unionist Party,,west-tyrone,M
West Tyrone,18,241,Patsy,KELLY,0,21,Independent,,west-tyrone,M
West Tyrone,18,242,Roger,LOMAS,0,991,NI Conservatives,,west-tyrone,M
West Tyrone,18,243,Declan,MCALEER,1,24,Sinn Fein,,west-tyrone,M
West Tyrone,18,244,Sorcha,MCANESPY,0,21,Independent,,west-tyrone,F
West Tyrone,18,245,Ciaran,MCCLEAN,0,111,Green Party,,west-tyrone,M
West Tyrone,18,246,Daniel,MCCROSSAN,1,23,Social Democratic and Labour Party,,west-tyrone,M
West Tyrone,18,247,Grace,MCDERMOTT,0,24,Sinn Fein,,west-tyrone,F
West Tyrone,18,248,Barry,MCELDUFF,1,24,Sinn Fein,,west-tyrone,M
