text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"Scots, take a look at this, to get a feel for the different polling booth mindset that comes with STV. #ae16 #sp16
https://t.co/q1rHZLXdx4",FALSE,0,NA,05/05/16 09:53,FALSE,NA,728160724304859000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",gerrymulvenna,1,FALSE,FALSE,NA,NA
GET OUT AND VOTE. Except if you're voting for the DUP. Those polls closed already. #ae16,FALSE,7,NA,05/05/16 09:52,FALSE,NA,728160506331038000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ainemagu,4,FALSE,FALSE,NA,NA
<ed><U+00A0><U+00BD><ed><U+00B3><U+00B7> ?MAY THE FOUR? Euro of food be with you? My latest cartoon! #MayThe4th #ae16 #MayThe4thBeWithYou... https://t.co/5bEM0HKshM,FALSE,0,NA,05/05/16 09:51,FALSE,NA,728160081263640000,NA,"<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>",Live_Drawing,0,FALSE,FALSE,NA,NA
RT @alaninbelfast: Tweetdeck configured for tomorrow ... Google Glasses would be good for count centres! #ae16 https://t.co/dp7qAXPJVr,FALSE,0,NA,05/05/16 09:50,FALSE,NA,728160052851315000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",PurlsofColour,1,TRUE,FALSE,NA,NA
RT @nearlythere: Wow: Why you should vote small parties you support first &amp; vote ALL the way down. Even ones you don't like(!) #ae16 https:?,FALSE,0,NA,05/05/16 09:49,FALSE,NA,728159687376437000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",roadsouth,1,TRUE,FALSE,NA,NA
#Gaelscola?ocht @ f?s: https://t.co/s4HlI8ge88 C? na hiarrth?ir? #AE16 @ tac? l?i? https://t.co/NsJ8bsmVU4 #GaelV?ta https://t.co/ndgMrjbiuc,FALSE,7,NA,05/05/16 09:48,FALSE,NA,728159488138600000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",CnaG,5,FALSE,FALSE,NA,NA
"RT @brianjohnspencr: ""MAY THE FOUR... Euro of food be with you...

My latest cartoon!  #MayThe4th #ae16 @ladfleg #MayThe4thBeWithYou https:?",FALSE,0,NA,05/05/16 09:48,FALSE,NA,728159456366715000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",belfastbarman,3,TRUE,FALSE,NA,NA
"Don't be DUPed by the #DUP 

Vote for real change today and a truly progressive #NorthernIreland! #PollingDay #ae16 https://t.co/GekcVYcGkc",FALSE,1,NA,05/05/16 09:48,FALSE,NA,728159446510150000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",belfastsocrates,0,FALSE,FALSE,NA,NA
"""MAY THE FOUR... Euro of food be with you...

My latest cartoon!  #MayThe4th #ae16 @ladfleg #MayThe4thBeWithYou https://t.co/I7SCwHiZqk",FALSE,4,NA,05/05/16 09:47,FALSE,NA,728159232978080000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",brianjohnspencr,3,FALSE,FALSE,NA,NA
RT @NicholaMallon: 5 minutes until the polling stations open #ae16 I know people are frustrated &amp; fed up but bad politics wins when good pe?,FALSE,0,NA,05/05/16 09:47,FALSE,NA,728159219183014000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",JarrieSam,23,TRUE,FALSE,NA,NA
RT @thegaysay: <U+26AB><U+FE0F> #DontVoteDUP they have weaponised an equality veto to oppress! #AE16 Please sign here: https://t.co/4G6B7F93Hj https://t.?,FALSE,0,NA,05/05/16 09:47,FALSE,NA,728159138174263000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",B2GAdotcom,18,TRUE,FALSE,NA,NA
the more green ticks the higher the preference they got from me. #ae16 https://t.co/GpAOO2as0F,FALSE,0,NA,05/05/16 09:47,FALSE,NA,728159097648910000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",irelandawakened,0,FALSE,FALSE,NA,NA
"RT @kathrynjohnston: My agent @LabourPartyNI @nilrc2016 says if all my friends + followers RT this post, I will be #ae16 in a heartbeat! so?",FALSE,0,NA,05/05/16 09:46,FALSE,NA,728158885194830000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",LauraBFAWU,15,TRUE,FALSE,NA,NA
Voted in #WestTyrone for the candidates who #TrustWomen and support #MarriageEquality #ae16,FALSE,1,NA,05/05/16 09:46,FALSE,NA,728158844463911000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",J0_Quinn,0,FALSE,FALSE,NA,NA
"RT @richardiaryan: Baldrick: That's not true, Lord Nelson's got a vote

Baldrick: He's got a BOAT Baldrick

#Blackadder #PollingDay #ae16",FALSE,0,NA,05/05/16 09:45,FALSE,NA,728158774284800000,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",BwabbleBubble,3,TRUE,FALSE,NA,NA
RT @baxtercrawford: As broken as #politics is in #NorthernIreland we can only make a difference by engaging and using our vote - So do it!?,FALSE,0,NA,05/05/16 09:45,FALSE,NA,728158688729391000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",evaajuliet,4,TRUE,FALSE,NA,NA
Reports of threatening behaviour from a person holding a hurl towards voters in polling station Derrytrasna is an utter disgrace #ae16,FALSE,0,NA,05/05/16 09:45,FALSE,NA,728158679258665000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mc_millan85,1,FALSE,FALSE,NA,NA
"RT @richardiaryan: Baldrick: That's not true, Lord Nelson's got a vote

Baldrick: He's got a BOAT Baldrick

#Blackadder #PollingDay #ae16",FALSE,0,NA,05/05/16 09:45,FALSE,NA,728158627610026000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",chloem86,3,TRUE,FALSE,NA,NA
"@LADFLEG Hmmm, this might be difficult. #ae16 https://t.co/g7IhNZiMGT",FALSE,1,LADFLEG,05/05/16 09:44,FALSE,NA,728158469916856000,1083596906,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",goodsy3,0,FALSE,FALSE,NA,NA
RT @JohnNI47973385: Tories on the mainland ruining the country and DUP doing the same for Northern Ireland. Vote on May 5th #AE16 for chang?,FALSE,0,NA,05/05/16 09:44,FALSE,NA,728158394801000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",caoimhetracey,1,TRUE,FALSE,NA,NA
